"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/components/TOC.md","","","","","",""
"help/components/home.md","Analytics Components Guide","Learn about the different components that Adobe Analytics offers.","","","",""
"help/components/dimensions/overview.md","Dimensions overview","Variables that contain string values.","","","",""
"help/components/dimensions/compatibility.md","Analytics Dimensions Compatibility","Reference for Analytics dimensions and reports.","","","",""
"help/components/dimensions/all-search-page-rank.md","All search page rank","Determine which page on a search engine a visitor clicked through to your site.","","","",""
"help/components/dimensions/am-pm.md","AM/PM","Determines if the hit happened during AM or PM hours.","","","",""
"help/components/dimensions/browser-height.md","Browser height - bucketed","The height of the browser window in pixels.","","","",""
"help/components/dimensions/browser-type.md","Browser type","The organization that made the browser.","","","",""
"help/components/dimensions/browser-width.md","Browser width - bucketed","The width of the browser window in pixels.","","","",""
"help/components/dimensions/browser.md","Browser","The name and version of the browser used.","","","",""
"help/components/dimensions/campaigns.md","Campaigns","Disambiguation page.","","","",""
"help/components/dimensions/category.md","Category","The product category of the hit.","","","",""
"help/components/dimensions/cities.md","Cities","The city where the hit originated from.","","","",""
"help/components/dimensions/color-depth.md","Color depth","The color depth of the device.","","","",""
"help/components/dimensions/connection-type.md","Connection type","How the visitor connects to the internet.","","","",""
"help/components/dimensions/cookie-support.md","Cookie support","Determines if the browser supports cookies.","","","",""
"help/components/dimensions/countries.md","Countries","The country where the hit originated from.","","","",""
"help/components/dimensions/custom-link.md","Custom link","The name of the custom link.","","","",""
"help/components/dimensions/customer-loyalty.md","Customer loyalty","Categories based on the number of previous purchases a visitor has made.","","","",""
"help/components/dimensions/day-of-month.md","Day of month","The numeric day of the month, regardless of which month.","","","",""
"help/components/dimensions/day-of-week.md","Day of week","The day of the week, regardless of date range.","","","",""
"help/components/dimensions/day-of-year.md","Day of year","The numeric day of the year, regardless of which year.","","","",""
"help/components/dimensions/day.md","Day","The day that the metric occurred on.","","","",""
"help/components/dimensions/days-before-first-purchase.md","Days before first purchase","The number of days between a visitor's first visit and their first purchase.","","","",""
"help/components/dimensions/days-since-last-purchase.md","Days since last purchase","The number of days between the current hit and the last purchase that they made.","","","",""
"help/components/dimensions/days-since-last-visit.md","Days since last visit","The number of days between the current hit and the last time they visited.","","","",""
"help/components/dimensions/domain.md","Domain","The organization or ISP the visitor uses to access the internet.","","","",""
"help/components/dimensions/download-link.md","Download link","The name of the download link.","","","",""
"help/components/dimensions/entry-dimensions.md","Entry dimensions","Lists entry dimensions and their use.","","","",""
"help/components/dimensions/evar.md","eVar","A custom dimension you can use in reporting.","","","",""
"help/components/dimensions/evar-merchandising.md","eVar (Merchandising)","Custom variables that tie to the products dimension.","","","",""
"help/components/dimensions/exit-dimensions.md","Exit dimensions","Lists exit dimensions and their use.","","","",""
"help/components/dimensions/exit-link.md","Exit link","The name of the exit link.","","","",""
"help/components/dimensions/first-touch-channel.md","First touch channel","The first marketing channel within the visitor's engagement expiration.","","","",""
"help/components/dimensions/first-touch-detail.md","First touch channel detail","Details for the first marketing channel within the visitor's engagement expiration.","","","",""
"help/components/dimensions/hit-depth.md","Hit depth","The number of hits into the visit.","","","",""
"help/components/dimensions/hit-type.md","Hit type","Determines if the hit was a foreground or background hit.","","","",""
"help/components/dimensions/hour-of-day.md","Hour of day","The numeric hour of the day, regardless of which day.","","","",""
"help/components/dimensions/hour.md","Hour","The hour that the metric occurred on.","","","",""
"help/components/dimensions/identified-state.md","Identified state","A flag determining recognition by the device graph.","","","",""
"help/components/dimensions/java-enabled.md","Java enabled","Determines if Java is enabled in the browser.","","","",""
"help/components/dimensions/language.md","Language","The preferred language setting in the browser.","","","",""
"help/components/dimensions/last-touch-channel.md","Last touch channel","The most recent marketing channel within the visitor's engagement expiration.","","","",""
"help/components/dimensions/last-touch-detail.md","Last touch channel detail","Details for the most recent marketing channel within the visitor's engagement expiration.","","","",""
